name	source_qualified_id	parity	union_uid	reason	witness
Inula aspera	ncbi:557640	=>	71948	new/tip	
Inula aspera	gbif:3148484	=>	71948	same-rank	species
Inula aspera	tax2:71948	=>	71948	same-parent/direct	Inulinae
Podospermum alpigenum	gbif:5397895	=>	3896951	new/tip	
Podospermum alpigenum	tax2:3896951	=>	3896951	same-qualified-id	
Senecio pseudo-orientalis	ncbi:1268587	=>	688675	new/tip	
Senecio pseudo-orientalis	gbif:6077079	=>	688675	same-parent/extended-l	Asteraceae
Senecio pseudo-orientalis	gbif:6077079	not=>	?	mapped/incompatible	
Senecio pseudo-orientalis	tax2:688675	=>	688675	same-parent/direct	Senecioninae
Asterales sp. BS0269	ncbi:1237711	=>	5232474	new/tip	
Asterales sp. BS0269	tax2:5232474	=>	5232474	same-qualified-id	
Asterales sp. BS0262	ncbi:1237712	=>	5232473	new/tip	
Asterales sp. BS0262	tax2:5232473	=>	5232473	same-qualified-id	
Leontodon hispidus	ncbi:58660	=>	864431	new/tip	
Leontodon hispidus	gbif:3137498	=>	864431	same-parent/direct	Asteraceae
Leontodon hispidus	gbif:3137498	not=>	?	mapped/incompatible	
Leontodon hispidus	tax2:864431	=>	864431	same-parent/direct	Hypochaeridinae
Filago pygmaea	ncbi:702242	=>	3899040	new/tip	
Filago pygmaea	gbif:3115793	=>	3899040	same-parent/direct	Asteraceae
Filago pygmaea	gbif:3115793	not=>	?	mapped/incompatible	
Filago pygmaea	tax2:3899040	=>	3899040	same-parent/direct	Gnaphalieae
Chondrilla pauciflora	gbif:5403820	=>	?	new/insertion	
Chondrilla pauciflora	tax2:5264883	=>	5264883	same-parent/direct	Chondrillinae
Asterales environmental sample	ncbi:1008273	=>	5144414	new/tip	
Asterales environmental sample	tax2:5144414	=>	5144414	same-qualified-id	
Lactuca marschallii	gbif:3140255	=>	3896789	new/tip	
Lactuca marschallii	tax2:3896789	=>	3896789	same-qualified-id	
Scorzoneroides carpetana	ncbi:379112	=>	613994	new/tip	
Scorzoneroides carpetana	gbif:3133528	=>	613994	same-parent/direct	Asteraceae
Scorzoneroides carpetana	gbif:3133528	not=>	?	mapped/incompatible	
Scorzoneroides carpetana	tax2:613994	=>	613994	same-parent/direct	Hypochaeridinae
Centaurea ornata	ncbi:145508	=>	785651	new/tip	
Centaurea ornata	gbif:3128025	=>	785651	same-parent/direct	Asteraceae
Centaurea ornata	gbif:3128025	not=>	?	mapped/incompatible	
Centaurea ornata	tax2:785651	=>	785651	same-parent/direct	Centaureinae
Hypochaeris achyrophorus	ncbi:58644	=>	914613	new/tip	
Hypochaeris achyrophorus	gbif:3093900	=>	914613	same-parent/direct	Asteraceae
Hypochaeris achyrophorus	gbif:3093900	not=>	?	mapped/incompatible	
Hypochaeris achyrophorus	tax2:914613	=>	914613	same-parent/direct	Hypochaeridinae
Crepis tectorum	ncbi:55615	=>	368809	new/tip	
Crepis tectorum	gbif:5403508	=>	368809	same-parent/direct	Asteraceae
Crepis tectorum	gbif:5403508	not=>	?	mapped/incompatible	
Crepis tectorum	tax2:368809	=>	368809	same-parent/direct	Crepidinae
Cyanus acmophyllus	gbif:5386000	=>	4727065	new/tip	
Cyanus acmophyllus	tax2:4727065	=>	4727065	same-qualified-id	
Artemisia campestris	ncbi:72337	=>	408655	new/internal	
Artemisia campestris	gbif:3121461	=>	408655	same-parent/direct	Asteraceae
Artemisia campestris	gbif:3121461	not=>	?	mapped/incompatible	
Artemisia campestris	tax2:408655	=>	408655	same-parent/direct	Artemisiinae
Senecio kolenatianus	ncbi:1268579	=>	165680	new/tip	
Senecio kolenatianus	gbif:3106890	=>	165680	same-rank	species
Senecio kolenatianus	tax2:165680	=>	165680	same-parent/direct	Senecioninae
Cotula cinerea	ncbi:282208	=>	997914	new/tip	
Cotula cinerea	tax2:997914	=>	997914	same-qualified-id	
Inula salicina	ncbi:56531	=>	959573	new/tip	
Inula salicina	gbif:3148413	=>	959573	same-parent/extended-l	Asteraceae
Inula salicina	gbif:3148413	not=>	?	mapped/incompatible	
Inula salicina	tax2:959573	=>	959573	same-parent/direct	Inulinae
Carthamus lucens	gbif:3138362	=>	3893988	new/tip	
Carthamus lucens	tax2:3893988	=>	3893988	same-qualified-id	
Podospermum radicosum	gbif:5397901	=>	3896949	new/tip	
Podospermum radicosum	tax2:3896949	=>	3896949	same-qualified-id	
Xylothamia palmeri	ncbi:199531	=>	4727528	new/tip	
Xylothamia palmeri	tax2:4727528	=>	4727528	same-qualified-id	
Podospermum canum	gbif:5397907	=>	?	new/insertion	
Senecio provincialis	ncbi:1268578	=>	165673	new/tip	
Senecio provincialis	gbif:3107166	=>	165673	same-rank	species
Senecio provincialis	tax2:165673	=>	165673	same-parent/direct	Senecioninae
